CowMtotal,YieldMean,DurationMean,AMFsum,F60.120Sum,PMF60sSum,PMF30sSum,MaxSum,TurnMax,Lag,Quartile
25,21.376184,254.52,127.01518487361184,166.4159,170.0625,172.422,176.76,168.45000000000002,1,3
30,20.04437666666667,258.7,142.87942642086944,185.5805,197.1693,199.37700000000004,204.27,189.63,1,3
32,19.236984375,274.3125,138.77848561222595,173.41500000000002,188.16,190.5165,195.33,178.29,1,3
25,21.54804,275.4,121.66799283099591,154.11450000000002,166.25950000000003,168.71300000000002,172.5,147.03,2,3
30,21.78443333333333,265.3,153.42596165171577,198.48300000000003,207.124,209.181,213.93000000000004,180.96,2,3
32,19.964417187500004,256.03125,154.36686438260313,201.728,206.8066,209.0312,213.81,172.23,2,3
25,19.00822,278.64,106.65664918761196,137.85150000000002,145.42700000000002,147.53799999999998,151.86,113.08,3,3
30,18.584483333333328,264.9,130.31865450632796,165.30100000000002,171.41349999999997,173.801,179.34,130.53000000000003,3,3
32,20.035875,277.3125,143.06753732859667,185.5845,193.5025,196.771,202.77,128.9,3,3
25,19.08294,264.72,113.06114135473489,144.453,150.318,152.106,156.3,139.74,1,3
30,20.48281666666667,266.0,145.06690520840166,188.987,196.691,198.685,202.89,190.26000000000005,1,3
32,19.65744375,262.21875,148.52521189260636,189.31925,197.2385,200.133,205.65,193.2,1,3
25,19.675424,278.16,109.37907862204112,145.7499,151.15800000000002,152.841,157.07999999999998,128.34,2,3
30,20.412500000000005,282.8,135.71075859879812,179.067,189.832,192.19,196.95,154.17000000000004,2,3
32,19.79080625,266.4375,151.25018257337825,190.5495,199.5788,201.796,206.46,169.02,2,3
25,20.04568,289.8,108.47660419512404,134.13649999999998,143.3565,144.93300000000002,149.04000000000002,116.57999999999998,3,3
30,21.029623333333333,259.8,151.74244856173877,197.7065,204.56,206.93200000000004,212.1,127.11,3,3
32,20.765812500000003,276.5625,148.9964788642664,197.5025,208.39,210.899,215.7,129.27,3,3
25,20.2577,274.44,115.17649015726566,146.385,152.13000000000002,153.662,156.89999999999998,148.04,1,3
30,20.025450000000003,275.6,135.25446636424584,171.16349999999997,179.26449999999997,181.001,185.64,167.25999999999996,1,3
32,20.041125,259.5,155.70152559068498,203.605,213.196,216.1795,222.42,206.16000000000005,1,3
